Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Cala Rossa Bay Resort,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.628354,9.334957,Route de Cala Rossa,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-07,#+33 7 87 19 07 56#calabayresort@gmail.com#https://www.calarossabay.com/,,"Cala Rossa Bay Resort est la promesse d'une expérience unique dans l'une des plus belles baies du sud Corse. Sur le site exceptionnel de Cala Rossa, près de la plage, résidence de villas de grand standing avec prestations hôtelières assurées au quotidien.",https://data.datatourisme.fr/13/c45810c5-8c12-3fc4-8f2d-7a8a7c498e70
U Mulinacciu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.673547,9.299361,Camping Mulinacciu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-21,#+33 4 95 71 47 48#infos@mulinacciu.com#https://www.mulinacciu.com/,,"Camping entre mer et montagne à 7 kms de Porto-Vecchio.
L'équipe du Mulinacciu vous accueille dans une nature encore préservée, dans sa pinède de 5 hectares au bord de la rivière de l'Osu, avec piscine et toboggan aquatique.",https://data.datatourisme.fr/13/b26b3595-d776-38a9-884e-d594964a1880
Les Villas de Porto-Vecchio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.642375,9.331556,Lieu dit Mora Dell Onda,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 73 47 69#contact@lesvillas.fr#https://www.pierreetvacances.com/fr-fr/fp_UBV_location-residence-premium-les-villas-de-porto-vecchio,,"La résidence Les Villas de Porto-Vecchio vous offre le parfait combo eaux turquoises, sable fin et petits commerces (à moins de 5 minutes de voiture).",https://data.datatourisme.fr/13/99de22b7-d126-322d-b15e-feb6c907c19c
Le Ponton,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.638257,9.348769,Plage de St Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-31,#+33 6 24 63 46 17#lepontoncorse2a@gmail.com#https://www.lepontoncorse.com/,,"L'école de ski nautique Le Ponton est située à St Cyprien en Corse du Sud au Nord de Porto-Vecchio.
Cette magnifique plage est bordée d'une eau bleu turquoise. 
Un spot paradisiaque pour découvrir ou pratiquer nos activités nautiques !",https://data.datatourisme.fr/13/1fe0c379-f39a-3ddf-b96d-73b20522aca4
Sensations Airlines,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.634099,9.346768,Plage de St Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-31,#+33 6 08 76 67 28#info@sensationsairlines.com#https://www.sensationsairlines.com/,,"Envolez-vous pour une escapade sensationnelle au dessus de la baie de St Cyprien. 
De 1 à 5 personnes pour un poids de 220 kg max. 
Baptême dès 4 ans accompagné d'un adulte. 
Musique et boissons fraîches à bord du bateau.
Sur réservation.",https://data.datatourisme.fr/13/e640e99f-d868-387c-9703-592fea3ff9c6
Lolly Loops,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.634738,9.346882,Plage de Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-31,#+33 6 14 67 91 55#grosso.gilles@free.fr#https://www.lollyloops.fr/,,"Dans la magnifique baie de St Cyprien venez pratiquer ou vous initier aux différents sports nautiques avec notre équipe spécialisée et professionnelle. Locations, stages voiles, cours particuliers : planche à voile, catamaran, wing foil, paddle, kayak.",https://data.datatourisme.fr/13/431d9d97-9798-36db-90c4-a9200eff4494
Le Tiki Chez Marco,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.63139,9.346045,Plage de Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 4 95 71 65 46##,,"Restaurant plage privée sur la plage de St Cyprien et ses eaux turquoises, à quelques encablures de Porto-Vecchio. Ambiance chic décontractée, accueil irréprochable, cuisine de qualité, plagiste aux petits soins... 
Réservation recommandée.",https://data.datatourisme.fr/13/63f8c593-eb14-349f-8e1a-faf34a6d93e1
Balade en voilier,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.636185,9.347526,Plage de Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-04-03,#+33 6 08 94 60 09#balade.en.voilier@gmail.com#,,"Partez pour une journée entière en mer. Baignade, plongée, farniente au cœur de la Réserve Naturelle de Bonifacio. Découvrez les sensations et joies de la voile en catamaran, une journée qui marquera vos vacances. Repas cuisiné avec des produits frais.",https://data.datatourisme.fr/13/886a12cf-19de-38e5-9ca3-0222ef74495e
Bordemer Croisières,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.635255,9.348856,Plage de Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-12,#+33 6 83 54 37 15#bordemer2a@orange.fr#http://www.bordemer-croisieres.fr/,,"Une journée de croisière à la voile, une matinée de pêche côtière en bateau. Nous fabriquons vos plus beaux souvenirs de vacances.",https://data.datatourisme.fr/13/7c9a6451-e1c1-3ced-8abd-17b3eb4dc958
Subtortue,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.638703,9.345573,37 centre commercial de St Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-06,#+33 6 22 14 58 28#plongee@subtortue.net#https://www.subtortue.net/,,"Subtortue vous accueille avec plaisir dans la splendide baie de St Cyprien à 10 min de la Réserve Naturelle des îles Cerbicales. Randonnée palmée, baptêmes enfant et adulte, exploration, perfectionnement ou formation, nous saurons répondre à vos envies.",https://data.datatourisme.fr/13/4e80ff17-595a-3521-990b-556ea605d10a
