,@id,@type,rdfs:label.de,rdfs:label.pt,rdfs:label.en,rdfs:label.it,rdfs:label.fr,rdfs:label.nl,rdfs:label.es
0,kb:SeaKayaking,['SportsTheme'],['Seekajak'],['Caiaque marítimo'],['Sea kayaking'],['Kayak da mare'],['Kayak de mer'],['Zeekajakken'],['Kayak de mar']
1,kb:StandupPaddleboarding,['SportsTheme'],['Stand-up Paddle (SUP)'],['Paddle de pé (SUP)'],['Standup paddleboarding'],['Stand up paddle (SUP)'],['Stand up paddle sup'],['Suppen'],['Tabla de pádel surf']
2,kb:TowableTube,['SportsTheme'],['Banana Boat'],['Boia de tração'],['Towable tube'],['Ciambella trainata'],['Bouée tractée'],['Tubing'],['Skibus náutico']
3,kb:Wakeboarding,['SportsTheme'],['Wake Board'],['Wakeboard'],['Wakeboarding'],['Wakeboard'],['Wake board'],['Wakeboarden'],['Wake board']
4,kb:WaterSkiing,['SportsTheme'],['Wasserski'],['Esqui náutico'],['Water skiing'],"[""Sci d'acqua""]",['Ski nautique'],['Waterskiën'],['Esquí acuático']
0,kb:Fishing,['SportsTheme'],['Fischerei'],['Pesca'],['Fishing'],['Pesca'],['Pêche'],['Visserij'],['Pesca']
1,kb:SeaFishing,['SportsTheme'],['Meeresfischerei'],['Pesca no mar'],['Sea fishing'],['Pesca marittima'],['Pêche en mer'],['Zeevissen'],['Pesca marítima']
2,kb:Snorkeling,['SportsTheme'],['Schnorcheln'],['Snorkling'],['Snorkeling'],['Snorkeling'],['Randonnée palmée'],['Snorkelen'],['Esnórquel']
0,kb:Culture,['CulturalTheme'],['Kultur'],['Cultura'],['Culture'],['Cultura'],['Culture'],['Cultuur'],['Cultura']
0,kb:Diving,['SportsTheme'],['Tauchen'],['Mergulho'],['Diving'],['Immersione'],['Plongée'],['Duiken'],['Buceo']
0,kb:MediterraneanCuisine,['CuisineCategory'],['Mediterrane Küche'],['Cozinha mediterrânica'],['Mediterranean cuisine'],['Cucina mediterranea'],['Cuisine méditerranéenne'],['Mediterrane keuken'],['Cocina mediterránea']
0,kb:Badminton,['SportsTheme'],['Badminton'],['Badminton'],['Badminton'],['Badminton'],['Badminton'],['Badminton'],['Bádminton']
1,kb:Basketball,['SportsTheme'],['Basketball'],['Basquetebol'],['Basketball'],['Pallacanestro'],['Basket-ball'],['Basketbal'],['Baloncesto']
2,kb:Bathing,"['AccommodationAmenity', 'SportsTheme']",['Baden'],['Banho'],['Bathing'],['Bagno'],['Baignade'],['Zwemmen'],['Baño']
3,kb:Boxing,['SportsTheme'],['Boxen'],['Boxe'],['Boxing'],['Boxe'],['Boxe'],['Boksen'],['Boxeo']
4,kb:Climbing,['SportsTheme'],['Klettern'],['Escalada'],['Climbing'],['Arrampicata'],['Escalade'],['Klimmen'],['Escalada']
5,kb:Dance,"['CulturalTheme', 'SportsTheme']",['Tanz'],['Dança'],['Dance'],['Danza'],['Danse'],['Dansen'],['Danza']
6,kb:Fitness,['SportsTheme'],['Fitness'],['Manutenção da forma física'],['Fitness'],['Fitness'],['Remise en forme'],['Fitness'],['Fitness']
7,kb:Gymnastics,['SportsTheme'],['Gymnastik'],['Ginástica'],['Gymnastics'],['Ginnastica'],['Gymnastique'],['Gymnastiek'],['Gimnasia']
8,kb:Handball,['SportsTheme'],['Handball'],['Andebol'],['Handball'],['Pallamano'],['Handball'],['Handbal'],['Balonmano']
9,kb:MartialArts,['SportsTheme'],['Kampfsport'],['Artes marciais'],['Martial arts'],['Arti marziali'],['Arts martiaux'],['Vechtsporten'],['Artes marciales']
10,kb:PingPong,['SportsTheme'],['Tischtennis'],['Ténis de mesa'],['Table tennis'],['Tennis da tavolo'],['Tennis de table'],['Tafeltennis'],['Tenis de mesa']
11,kb:Squash,['SportsTheme'],['Squash'],['Squash'],['Squash'],['Squash'],['Squash'],['Squash'],['Squash']
12,kb:Swimming,['SportsTheme'],['Schwimmen'],['Natação'],['Swimming'],['Nuoto'],['Natation'],['Zwemmen'],['Natación']
13,kb:Yoga,['SportsTheme'],['Yoga'],['Ioga'],['Yoga'],['Yoga'],['Yoga'],['Yoga'],['Yoga']
0,kb:Karting,['SportsTheme'],['Karting'],['Corrida de karts'],['Karting'],['Karting'],['Karting'],['Karten'],['Karts']
