@id,typeTheme,nomTheme
kb:SeaKayaking,SportsTheme,Kayak de mer
kb:StandupPaddleboarding,SportsTheme,Stand up paddle sup
kb:TowableTube,SportsTheme,Bouée tractée
kb:Wakeboarding,SportsTheme,Wake board
kb:WaterSkiing,SportsTheme,Ski nautique
kb:Fishing,SportsTheme,Pêche
kb:SeaFishing,SportsTheme,Pêche en mer
kb:Snorkeling,SportsTheme,Randonnée palmée
kb:Culture,CulturalTheme,Culture
kb:Diving,SportsTheme,Plongée
kb:MediterraneanCuisine,CuisineCategory,Cuisine méditerranéenne
kb:Badminton,SportsTheme,Badminton
kb:Basketball,SportsTheme,Basket-ball
kb:Bathing,AccommodationAmenity,Baignade
kb:Boxing,SportsTheme,Boxe
kb:Climbing,SportsTheme,Escalade
kb:Dance,CulturalTheme,Danse
kb:Fitness,SportsTheme,Remise en forme
kb:Gymnastics,SportsTheme,Gymnastique
kb:Handball,SportsTheme,Handball
kb:MartialArts,SportsTheme,Arts martiaux
kb:PingPong,SportsTheme,Tennis de table
kb:Squash,SportsTheme,Squash
kb:Swimming,SportsTheme,Natation
kb:Yoga,SportsTheme,Yoga
kb:Karting,SportsTheme,Karting
kb:Pilates,SportsTheme,Pilates
kb:Hiking,SportsTheme,Randonnée
kb:Pedestrian,SportsTheme,Pédestre
kb:Running,SportsTheme,Course à pied
kb:Buggy,SportsTheme,Buggy
kb:FourWheelDrive,SportsTheme,4 x 4
kb:Golf,SportsTheme,Golf
kb:PonyRide,SportsTheme,Balade à poney
kb:Riding,SportsTheme,Equitation
kb:AdventureCourse,SportsTheme,Parcours aventure
kb:Canyoning,SportsTheme,Canyoning
kb:Caving,SportsTheme,Spéléologie
kb:RopeCourse,SportsTheme,Accro-branches
kb:Trail,SportsTheme,Trail
kb:ViaCordata,SportsTheme,Via cordata
kb:Mountaineering,SportsTheme,Alpinisme
kb:SkiTouring,SportsTheme,Ski de randonnée
kb:ViaFerrata,SportsTheme,Via ferrata
kb:CanoeingKayaking,SportsTheme,Canoé kayak
kb:ATV,SportsTheme,Vtt
kb:Bike,SportsTheme,Vélo
kb:Orienteering,SportsTheme,Orientation
kb:Snowshoes,SportsTheme,Raquettes
kb:Wintersports,SportsTheme,Sports d'hiver
kb:Catamaran,SportsTheme,Catamaran
kb:SportSailing,SportsTheme,Sport à voile
kb:Windsurfing,SportsTheme,Planche à voile
kb:Scooter,SportsTheme,Trottinette
kb:Quad,SportsTheme,Quad
kb:ElectricATV,SportsTheme,Vtt électrique
kb:Gyropode,SportsTheme,Gyropode
kb:PowerBoating,SportsTheme,Motonautisme
kb:Bodybuilding,SportsTheme,Musculation
kb:Bodyboard,SportsTheme,Bodyboard
kb:Surf,SportsTheme,Surf
kb:AirSports,SportsTheme,Sport aérien
kb:Parasailing,SportsTheme,Parachute ascensionnel
kb:Helicopter,SportsTheme,Hélicoptère
kb:BicycleTouring,SportsTheme,Cyclotourisme
kb:Cycling,SportsTheme,Cyclisme
kb:ElectricBike,SportsTheme,"Vélo électrique, speed bike"
kb:ElectricallyAssistedBicycle,SportsTheme,"Vélo à assistance électrique, VAE"
kb:FatBike,SportsTheme,Fat bike
kb:Paragliding,SportsTheme,Parapente
kb:Ulm,SportsTheme,Ulm
kb:EscapeGame,SportsTheme,Escape game
kb:Boules,SportsTheme,Pétanque
kb:MiniGolf,CommonAmenity,Mini-golf
kb:Tennis,SportsTheme,Tennis
kb:Skydiving,SportsTheme,Parachutisme
kb:Kitesurfing,SportsTheme,Kite-surf
kb:NordicWalking,SportsTheme,Marche nordique
kb:DonkeyHiking,SportsTheme,Randonnée avec âne porteur
